
oai-du-rfsim-1     | 1805712.548277 [NR_MAC] I Frame.Slot 640.0
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1308/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          18093 RX         148634 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
nearRT-RIC-1       | [UTIL]: Setting the config -c file to ./configs/flexric.conf
nearRT-RIC-1       | [UTIL]: Setting path -p for the shared libraries to /usr/local/lib/flexric/
nearRT-RIC-1       | [NEAR-RIC]: nearRT-RIC IP Address = 192.168.71.184, PORT = 36421
nearRT-RIC-1       | [NEAR-RIC]: Initializing 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 148 with def = GTP_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 145 with def = SLICE_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 142 with def = MAC_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 2 with def = ORAN-E2SM-KPM 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 144 with def = PDCP_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 146 with def = TC_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 143 with def = RLC_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Loading SM ID = 3 with def = ORAN-E2SM-RC 
nearRT-RIC-1       | [iApp]: Initializing ... 
nearRT-RIC-1       | [iApp]: nearRT-RIC IP Address = 192.168.71.184, PORT = 36422
nearRT-RIC-1       | [NEAR-RIC]: Initializing Task Manager with 2 threads 
oai-du-rfsim-1     | 1805714.122326 [NR_MAC] I Frame.Slot 0.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 148/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1330/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 0.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 0.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: MAC:    TX          18216 RX         151523 bytes
oai-ue-rfsimu-1-1  |     DL harq: 148/0
oai-ue-rfsimu-2-1  |     DL harq: 149/0
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 1331/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-ue-rfsimu-2-1  |     Ul harq: 1324/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 149/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1321/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          18339 RX         150142 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 1805714.651334 [NR_MAC] I Frame.Slot 128.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 149/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1343/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 128.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 128.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: MAC:    TX          18339 RX         153031 bytes
oai-ue-rfsimu-1-1  |     DL harq: 149/0
oai-ue-rfsimu-2-1  |     DL harq: 150/0
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 1344/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-ue-rfsimu-2-1  |     Ul harq: 1337/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 150/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1334/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          18462 RX         151650 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 1805715.175248 [NR_MAC] I Frame.Slot 256.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 150/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1356/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 256.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 256.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: MAC:    TX          18462 RX         154539 bytes
oai-ue-rfsimu-1-1  |     DL harq: 150/0
oai-ue-rfsimu-2-1  |     DL harq: 151/0
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 1357/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-ue-rfsimu-2-1  |     Ul harq: 1350/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 151/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1346/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          18585 RX         153042 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 1805715.666994 [NR_MAC] I Frame.Slot 384.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 152/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1369/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 384.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 384.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: MAC:    TX          18708 RX         156047 bytes
oai-ue-rfsimu-1-1  |     DL harq: 152/0
oai-ue-rfsimu-2-1  |     DL harq: 152/0
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 1370/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-ue-rfsimu-2-1  |     Ul harq: 1362/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 152/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1359/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          18708 RX         154550 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
oai-du-rfsim-1     | 1805716.144622 [NR_MAC] I Frame.Slot 512.0
oai-du-rfsim-1     | UE RNTI bd28 CU-UE-ID 1 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE bd28: dlsch_rounds 153/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-ue-rfsimu-1-1  | [NR_MAC]   UE 0 stats sfn: 512.8, cumulated bad DCI 0
oai-ue-rfsimu-2-1  | [NR_MAC]   UE 0 stats sfn: 512.8, cumulated bad DCI 0
oai-du-rfsim-1     | UE bd28: ulsch_rounds 1381/0/0/0, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-ue-rfsimu-1-1  |     DL harq: 153/0
oai-ue-rfsimu-2-1  |     DL harq: 154/0
oai-du-rfsim-1     | UE bd28: MAC:    TX          18831 RX         157439 bytes
oai-ue-rfsimu-1-1  |     Ul harq: 1383/0 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.8)
oai-ue-rfsimu-2-1  |     Ul harq: 1375/1 avg code rate 0.7, avg bit/symbol 2.0, avg per TB: (nb RBs 5.0, nb symbols 12.7)
oai-du-rfsim-1     | UE bd28: LCID 1: TX            534 RX            306 bytes
oai-du-rfsim-1     | UE bd28: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE bd28: LCID 4: TX              9 RX            192 bytes
oai-du-rfsim-1     | UE RNTI dea5 CU-UE-ID 4 in-sync PH 48 dB PCMAX 20 dBm, average RSRP -44 (16 meas)
oai-du-rfsim-1     | UE dea5: dlsch_rounds 154/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
oai-du-rfsim-1     | UE dea5: ulsch_rounds 1372/1/0/0, ulsch_errors 0, ulsch_DTX 1, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
oai-du-rfsim-1     | UE dea5: MAC:    TX          18954 RX         156058 bytes
oai-du-rfsim-1     | UE dea5: LCID 1: TX            546 RX            302 bytes
oai-du-rfsim-1     | UE dea5: LCID 2: TX              0 RX              0 bytes
oai-du-rfsim-1     | UE dea5: LCID 4: TX              9 RX            207 bytes
oai-du-rfsim-1     | 
oai-cu-cp-1        | 
oai-cu-up-1        | 
oai-ue-rfsimu-1-1  | [HW]   Lost socket
oai-ue-rfsimu-1-1  | mac f7 3c cc ad 
oai-ue-rfsimu-2-1  | [HW]   Lost socket
oai-ue-rfsimu-1-1  | mac 58 e 4 fe 
oai-ue-rfsimu-2-1  | mac e9 b6 7f 7a 
oai-ue-rfsimu-2-1  | mac ed 24 9c 8c 
oai-cu-cp-1 exited with code 0
oai-cu-up-1 exited with code 0
oai-cu-cp-1        | [UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
oai-ue-rfsimu-1-1 exited with code 0
oai-ue-rfsimu-2-1 exited with code 0
oai-cu-up-1        | [E1AP]   Try to reconnect to CP
oai-cu-up-1        | [SCTP]   Connect failed: Connection refused
nearRT-RIC-1       | [E2AP]: E2 SETUP-REQUEST rx from PLMN 999.70 Node ID 3584 RAN type ngran_gNB_CUUP ID 3584
oai-cu-up-1        | [E1AP]   Lost connection (SCTP_STATE_UNREACHABLE) with CU-CP (assoc_id -1): trigger new E1 association
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 2 with def = ORAN-E2SM-KPM 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 3 with def = ORAN-E2SM-RC 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 142 with def = MAC_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 143 with def = RLC_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 144 with def = PDCP_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 145 with def = SLICE_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 146 with def = TC_STATS_V0 
nearRT-RIC-1       | [NEAR-RIC]: Accepting RAN function ID 148 with def = GTP_STATS_V0 
oai-cu-cp-1        | [OPT]   OPT disabled
oai-cu-cp-1        | [HW]   Version: Branch: develop Abrev. Hash: ff58b5e Date: Wed Feb 12 06:55:05 2025 +0000
oai-cu-cp-1        | [GNB_APP]   Initialized RAN Context: RC.nb_nr_inst = 1, RC.nb_nr_macrlc_inst = 0, RC.nb_nr_L1_inst = 0, RC.nb_RU = 0, RC.nb_nr_CC[0] = 0
oai-cu-cp-1        | [GNB_APP]   F1AP: gNB_CU_id[0] 3584
oai-cu-cp-1        | [GNB_APP]   F1AP: gNB_CU_name[0] gNB-OAI
oai-cu-cp-1        | [GNB_APP]   SDAP layer is disabled
oai-cu-cp-1        | [GNB_APP]   Data Radio Bearer count 1
oai-cu-cp-1        | [NR_RRC]   do_SIB23_NR, size 9
oai-cu-cp-1        | [UTIL]   threadCreate() for TASK_SCTP: creating thread with affinity ffffffff, priority 50
oai-cu-cp-1        | [X2AP]   X2AP is disabled.
oai-cu-cp-1        | [UTIL]   threadCreate() for TASK_NGAP: creating thread with affinity ffffffff, priority 50
oai-cu-cp-1        | [NGAP]   Starting NGAP layer
oai-cu-cp-1        | [UTIL]   threadCreate() for TASK_GNB_APP: creating thread with affinity ffffffff, priority 50
oai-cu-cp-1        | [NGAP]   Registered new gNB[0] and macro gNB id 3584
oai-cu-cp-1        | [NGAP]   [gNB 0] check the amf registration state
oai-cu-cp-1        | [UTIL]   threadCreate() for TASK_RRC_GNB: creating thread with affinity ffffffff, priority 50
oai-cu-cp-1        | [NGAP]   Send NGSetupRequest to AMF
oai-cu-cp-1        | [NGAP]   3584 -> 0000e000
oai-cu-cp-1        | [UTIL]   threadCreate() for TASK_CU_F1: creating thread with affinity ffffffff, priority 50
oai-cu-cp-1        | [NR_RRC]   Entering main loop of NR_RRC message task
oai-cu-cp-1        | [NGAP]   servedGUAMIs.list.count 1
oai-cu-cp-1        | [NGAP]   PLMNSupportList.list.count 1
oai-cu-cp-1        | [NGAP]   PLMNSupportList.list.count 1
oai-cu-cp-1        | [NGAP]   Received NGSetupResponse from AMF
oai-cu-cp-1        | [F1AP]   Starting F1AP at CU
oai-cu-cp-1        | [UTIL]   threadCreate() for TASK_CUCP_E1: creating thread with affinity ffffffff, priority 50
oai-cu-cp-1        | [F1AP]   F1AP_CU_SCTP_REQ(create socket) for 192.168.71.182 len 15
oai-cu-cp-1        | [F1AP]   In F1AP connection, don't start GTP-U, as we have also E1AP
oai-cu-cp-1        | [E1AP]   Starting E1AP at CU CP
oai-cu-cp-1        | [GTPU]   Configuring GTPu
oai-cu-cp-1        | [GTPU]   SA mode 
oai-cu-cp-1        | [GNB_APP]   [gNB 0] Received NGAP_REGISTER_GNB_CNF: associated AMF 1
oai-cu-cp-1        | [E1AP]   E1AP_CUCP_SCTP_REQ(create socket) for 192.168.71.182 len 15
oai-ue-rfsimu-1-1  | [OPT]   OPT disabled
oai-ue-rfsimu-1-1  | [HW]   Version: Branch: develop Abrev. Hash: ff58b5e Date: Wed Feb 12 06:55:05 2025 +0000
oai-ue-rfsimu-1-1  | [UTIL]   Opened socket oaitun_ue1 with fd nas_sock_fd[0]=93
oai-ue-rfsimu-1-1  | [PDCP]   UE pdcp will use tun interface
oai-ue-rfsimu-1-1  | [SIM]   UICC simulation: IMSI=999700000000001, IMEISV=6754567890123413, Ki=fec86ba6eb707ed08905757b1bb44b8f, OPc=c42449363bbad02b66d16bc975d77cc1, DNN=internet, SST=0x01, SD=0xffffff
oai-ue-rfsimu-1-1  | [NR_MAC]   [UE0] Initializing MAC
oai-ue-rfsimu-1-1  | [NR_MAC]   Initializing dl and ul config_request. num_slots = 20
oai-ue-rfsimu-1-1  | [RLC]   Activated srb0 for UE 0
oai-ue-rfsimu-1-1  | [RLC]   SRB0 already exists for UE 0, do nothing
oai-ue-rfsimu-1-1  | [PHY]   Set UE_fo_compensation 0, UE_scan_carrier 0, UE_no_timing_correction 0 
oai-ue-rfsimu-1-1  | , chest-freq 0, chest-time 0
oai-ue-rfsimu-1-1  | [PHY]   Set UE nb_rx_antenna 1, nb_tx_antenna 1, threequarter_fs 1, ssb_start_subcarrier 516
oai-ue-rfsimu-1-1  | [PHY]   SA init parameters. DL freq 3619200000 UL offset 0 SSB numerology 1 N_RB_DL 106
oai-ue-rfsimu-1-1  | [PHY]   Init: N_RB_DL 106, first_carrier_offset 900, nb_prefix_samples 108,nb_prefix_samples0 132, ofdm_symbol_size 1536
oai-ue-rfsimu-1-1  | [PHY]   samples_per_subframe 46080/per second 46080000, wCP 43008
oai-ue-rfsimu-1-1  | [UTIL]   threadCreate() for SYNC__actor: creating thread with affinity ffffffff, priority 97
oai-ue-rfsimu-1-1  | [UTIL]   threadCreate() for DL__actor: creating thread with affinity ffffffff, priority 97
oai-ue-rfsimu-1-1  | [UTIL]   threadCreate() for DL__actor: creating thread with affinity ffffffff, priority 97
